row_id,positive,sample_n
1,43,46
2,49,50
3,47,49
4,46,48
5,43,47
6,43,46
7,44,46
8,137,141
9,120,125
10,124,125
11,115,116
12,105,114
13,90,94
14,79,97
15,102,108
16,53,54
17,53,56
18,52,52
19,50,51
20,54,55
21,43,45
22,50,51
23,37,48
24,41,44
25,48,51
26,15,29
27,15,21
28,30,30
29,20,21
30,103,104
31,42,44
32,109,114
33,102,104
34,99,101
35,93,95
36,95,97
37,84,88
38,91,93
39,90,92
40,84,86
41,103,104
42,19,19
43,24,26
44,26,27
45,28,30
46,30,32
47,35,37
48,24,25
49,28,30
50,27,28
51,76,82
52,48,91
53,80,81
54,74,75
55,74,76
56,77,84
57,69,82
58,24,70
59,78,86
60,65,75
61,78,82
62,116,118
63,86,88
64,127,128
65,127,128
66,129,130
67,116,117
68,120,121
69,158,160
70,145,145
71,147,151
72,134,134
73,146,147
74,122,124
75,123,124
76,120,123
77,93,95
78,122,125
79,139,142
80,86,99
81,125,128
82,134,137
83,126,127
84,148,149
85,148,149
86,96,98
87,139,140
88,95,97
89,124,125
90,34,40
91,42,42
92,38,40
93,74,75
94,70,71
95,63,64
96,61,62
97,51,52
98,10,11
99,17,18
100,19,20
101,19,20
102,42,44
103,25,26
104,23,24
105,47,67
106,37,62
107,71,72
108,58,61
109,57,58
110,43,47
111,49,53
112,67,68
113,162,163
114,154,160
115,167,168
116,143,144
117,117,118
118,141,142
119,130,133
120,119,120
121,91,93
122,131,132
123,108,108
124,123,124
125,123,124
126,123,124
127,130,131
128,138,139
129,117,123
130,110,111
131,115,116
132,32,48
133,45,48
134,44,48
135,47,49
136,67,68
137,65,68
138,45,48
139,68,70
140,64,65
141,64,67
142,66,66
143,64,65
144,61,63
145,64,67
146,89,91
147,71,73
148,70,71
149,59,60
150,68,69
151,55,56
152,40,44
153,41,46
154,44,45
155,48,48
156,45,47
157,46,48
158,41,43
159,52,53
160,32,34
161,28,30
162,36,38
163,22,22
164,22,22
165,22,22
166,20,21
167,22,23
168,28,30
169,36,38
170,20,21
171,65,66
172,65,66
173,63,66
174,77,79
175,83,85
176,65,66
177,86,88
178,86,88
179,85,87
180,73,74
181,41,43
182,45,45
183,45,47
184,44,46
185,46,48
186,45,47
187,34,43
188,39,41
189,42,44
190,23,24
191,29,29
192,19,20
193,35,37
194,50,51
195,52,52
196,45,49
197,57,57
198,67,68
199,80,82
200,74,75
201,80,82
202,62,65
203,72,73
204,75,77
205,16,19
206,11,11
207,19,23
208,19,20
209,21,22
210,46,48
211,45,47
212,76,78
213,67,68
214,40,42
215,83,85
216,101,104
217,91,94
218,78,82
219,90,92
220,89,91
221,99,100
222,103,104
223,88,90
224,79,81
225,86,88
226,70,72
227,69,70
228,63,63
229,73,74
230,72,73
231,70,71
232,72,73
233,57,58
234,60,61
235,64,65
236,33,40
237,39,40
238,36,37
239,38,40
240,37,39
241,41,43
242,29,31
243,52,53
244,41,43
245,60,61
246,10,10
247,94,102
248,82,113
249,95,97
250,89,97
251,108,113
252,99,102
253,96,103
254,81,96
255,77,79
256,83,88
257,40,41
258,34,36
259,32,34
260,37,39
261,28,30
262,37,39
263,31,33
264,21,22
265,32,34
266,24,25
267,19,20
268,17,18
269,24,26
270,23,24
271,20,22
272,93,101
273,75,84
274,71,72
275,61,62
276,68,69
277,68,69
278,55,56
279,54,55
280,78,80
281,2,14
282,3,23
283,6,28
284,12,21
285,6,21
286,21,34
287,20,36
288,32,35
289,34,36
290,22,22
291,12,17
292,12,13
293,145,146
294,159,162
295,160,162
296,136,150
297,155,157
298,171,175
299,12,14
300,15,16
301,19,20
302,21,22
303,20,21
304,20,21
305,51,52
306,60,60
307,44,45
308,50,51
