school_id,year,school_name,county_name,enrollment,current,med_exempt,rel_exempt,school_type,school_level,excluded_note,addr_clean,city,zip,state,business_status,lat,lon
108,2013,amelia earhart elementary,alameda,99,86,0,0,public,NA,NA,400 packet landing rd,Alameda,94502,ca,operational,37.744499,-122.238091
108,2015,amelia earhart elementary,alameda,137,134,0,0,public,NA,NA,400 packet landing rd,Alameda,94502,ca,operational,37.744499,-122.238091
368,2015,chinese christian schools-alameda,alameda,47,47,0,0,private,NA,NA,1801 n loop rd,alameda,94502,ca,operational,37.7273199,-122.2386101
465,2013,donlon elementary,alameda,118,115,0,0,public,NA,NA,4150 dorman rd,Pleasanton,94588,ca,operational,37.684082,-121.909264
9771,2013,"gooden school, the",los angeles,11,10,0,0,private,NA,NA,192 n baldwin ave,Sierra Madre,91024,ca,operational,34.16518,-118.051941
9771,2014,"gooden school, the",los angeles,14,13,0,0,private,NA,NA,192 n baldwin ave,Sierra Madre,91024,ca,operational,34.16518,-118.051941
9771,2015,"gooden school, the",los angeles,13,13,0,0,private,NA,NA,192 n baldwin ave,Sierra Madre,91024,ca,operational,34.16518,-118.051941
465,2014,donlon elementary,alameda,112,110,0,0,public,NA,NA,4150 dorman rd,Pleasanton,94588,ca,operational,37.684082,-121.909264
13647,2013,sierra madre elementary,los angeles,95,73,1,0,public,NA,NA,141 w highland ave,Sierra Madre,91024,ca,operational,34.164955,-118.055565
13647,2014,sierra madre elementary,los angeles,102,100,0,0,public,NA,NA,141 w highland ave,Sierra Madre,91024,ca,operational,34.164955,-118.055565
13647,2015,sierra madre elementary,los angeles,86,78,1,0,public,NA,NA,141 w highland ave,Sierra Madre,91024,ca,operational,34.164955,-118.055565
465,2015,donlon elementary,alameda,123,120,0,0,public,NA,NA,4150 dorman rd,Pleasanton,94588,ca,operational,37.684082,-121.909264
14050,2013,st. rita catholic school,los angeles,34,26,1,0,private,NA,NA,322 n baldwin ave,Sierra Madre,91024,ca,operational,34.16787,-118.052048
14050,2014,st. rita catholic school,los angeles,35,30,0,0,private,NA,NA,322 n baldwin ave,Sierra Madre,91024,ca,operational,34.16787,-118.052048
14050,2015,st. rita catholic school,los angeles,25,25,0,0,private,NA,NA,322 n baldwin ave,Sierra Madre,91024,ca,operational,34.16787,-118.052048
7022,2013,alvarado elementary,los angeles,69,67,0,0,public,NA,NA,1900 e 21st st,Signal Hill,90755,ca,operational,33.794544,-118.168221
7022,2014,alvarado elementary,los angeles,94,93,0,0,public,NA,NA,1900 e 21st st,Signal Hill,90755,ca,operational,33.794544,-118.168221
7022,2015,alvarado elementary,los angeles,76,74,0,0,public,NA,NA,1900 e 21st st,Signal Hill,90755,ca,operational,33.794544,-118.168221
13663,2013,signal hill elementary,los angeles,110,107,0,0,public,NA,NA,2285 walnut ave,Signal Hill,90755,ca,operational,33.798668,-118.172569
13663,2014,signal hill elementary,los angeles,158,143,0,0,public,NA,NA,2285 walnut ave,Signal Hill,90755,ca,operational,33.798668,-118.172569
13663,2015,signal hill elementary,los angeles,128,125,0,1,public,NA,NA,2285 walnut ave,Signal Hill,90755,ca,operational,33.798668,-118.172569
7776,2013,california virtual academy @ los angeles,los angeles,165,98,0,0,private,NA,NA,50 moreland rd,simi valley,93065,ca,operational,34.276156,-118.7980284
7776,2014,california virtual academy los angeles,los angeles,166,117,0,36,private,NA,NA,50 moreland rd,simi valley,93065,ca,operational,34.276156,-118.7980284
7776,2015,california virtual academy los angeles,los angeles,111,91,0,8,private,NA,NA,50 moreland rd,simi valley,93065,ca,operational,34.276156,-118.7980284
14641,2013,iq academy california-los angeles,los angeles,20,12,0,0,charter,NA,NA,32248 crown valley rd,acton,93510,ca,operational,34.472692,-118.196581
14641,2014,iq academy california-los angeles,los angeles,23,17,0,3,charter,NA,NA,32248 crown valley rd,acton,93510,ca,operational,34.472692,-118.196581
14641,2015,iq academy california-los angeles,los angeles,20,16,0,4,charter,NA,NA,32248 crown valley rd,acton,93510,ca,operational,34.472692,-118.196581
9175,2013,epiphany catholic,los angeles,19,19,0,0,private,NA,NA,10915 michael hunt dr,South El Monte,91733,ca,operational,34.046177,-118.040932
9175,2014,epiphany catholic,los angeles,14,13,1,0,private,NA,NA,10915 michael hunt dr,South El Monte,91733,ca,operational,34.046177,-118.040932
9175,2015,epiphany catholic,los angeles,16,16,0,0,private,NA,NA,10915 michael hunt dr,South El Monte,91733,ca,operational,34.046177,-118.040932
582,2013,fairlands elementary,alameda,115,114,0,0,public,NA,NA,4151 w las positas blvd,Pleasanton,94588,ca,operational,37.69236,-121.873955
12176,2013,new temple,los angeles,123,123,0,0,public,NA,NA,11033 central ave,South El Monte,91733,ca,operational,34.04187,-118.042938
12176,2014,new temple,los angeles,130,130,0,0,public,NA,NA,11033 central ave,South El Monte,91733,ca,operational,34.04187,-118.042938
12176,2015,new temple,los angeles,115,114,0,0,public,NA,NA,11033 central ave,South El Monte,91733,ca,operational,34.04187,-118.042938
582,2014,fairlands elementary,alameda,140,138,0,0,public,NA,NA,4151 w las positas blvd,Pleasanton,94588,ca,operational,37.69236,-121.873955
7244,2013,aspire firestone academy,los angeles,78,75,1,0,charter,NA,NA,8929 kauffman ave,South Gate,90280,ca,operational,33.951733,-118.189445
7244,2014,aspire firestone academy,los angeles,56,56,0,0,charter,NA,NA,8929 kauffman ave,South Gate,90280,ca,operational,33.951733,-118.189445
7244,2015,aspire firestone academy,los angeles,85,85,0,0,charter,NA,NA,8929 kauffman ave,South Gate,90280,ca,operational,33.951733,-118.189445
582,2015,fairlands elementary,alameda,150,146,2,0,public,NA,NA,4151 w las positas blvd,Pleasanton,94588,ca,operational,37.69236,-121.873955
7245,2013,aspire gateway academy,los angeles,53,53,0,0,charter,NA,NA,8929 kauffman ave,South Gate,90280,ca,operational,33.951733,-118.189445
7245,2014,aspire gateway academy,los angeles,77,76,0,1,charter,NA,NA,8929 kauffman ave,South Gate,90280,ca,operational,33.951733,-118.189445
7245,2015,aspire gateway academy,los angeles,58,57,1,0,charter,NA,NA,8929 kauffman ave,South Gate,90280,ca,operational,33.951733,-118.189445
7665,2013,bryson avenue elementary,los angeles,157,151,1,0,public,NA,NA,4470 missouri ave,South Gate,90280,ca,operational,33.944744,-118.192657
7665,2014,bryson avenue elementary,los angeles,144,112,0,0,public,NA,NA,4470 missouri ave,South Gate,90280,ca,operational,33.944744,-118.192657
7665,2015,bryson avenue elementary,los angeles,148,113,0,1,public,NA,NA,4470 missouri ave,South Gate,90280,ca,operational,33.944744,-118.192657
