obs_id,school_id,school_name,county_name,year,county_loc_id,school_loc_id,location,cohort,age,dose,weight
1,24,the academy of alameda elementary,Alameda,2016,2,60,60,2016,5,2,1
2,24,the academy of alameda elementary,Alameda,2017,2,60,60,2017,5,2,1
3,24,the academy of alameda elementary,Alameda,2018,2,60,60,2018,5,2,1
4,24,the academy of alameda elementary,Alameda,2019,2,60,60,2019,5,2,1
5,24,the academy of alameda elementary,Alameda,2020,2,60,60,2020,5,2,1
6,24,the academy of alameda elementary,Alameda,2021,2,60,60,2021,5,2,1
7,24,the academy of alameda,Alameda,2022,2,60,60,2022,5,2,1
8,28,achieve academy,Alameda,2015,2,61,61,2015,5,2,1
9,28,achieve academy,Alameda,2016,2,61,61,2016,5,2,1
10,28,achieve academy,Alameda,2017,2,61,61,2017,5,2,1
11,28,achieve academy,Alameda,2018,2,61,61,2018,5,2,1
12,28,achieve academy,Alameda,2019,2,61,61,2019,5,2,1
13,28,achieve academy,Alameda,2020,2,61,61,2020,5,2,1
14,28,achieve academy,Alameda,2021,2,61,61,2021,5,2,1
15,28,achieve academy,Alameda,2022,2,61,61,2022,5,2,1
16,29,acorn woodland elementary,Alameda,2013,2,62,62,2013,5,2,1
17,29,acorn woodland elementary,Alameda,2014,2,62,62,2014,5,2,1
18,29,acorn woodland elementary,Alameda,2015,2,62,62,2015,5,2,1
19,29,acorn woodland elementary,Alameda,2016,2,62,62,2016,5,2,1
20,29,acorn woodland elementary,Alameda,2017,2,62,62,2017,5,2,1
21,29,acorn woodland elementary,Alameda,2018,2,62,62,2018,5,2,1
22,29,acorn woodland elementary,Alameda,2019,2,62,62,2019,5,2,1
23,29,acorn woodland elementary,Alameda,2020,2,62,62,2020,5,2,1
24,29,acorn woodland elementary,Alameda,2021,2,62,62,2021,5,2,1
25,29,acorn woodland elementary,Alameda,2022,2,62,62,2022,5,2,1
26,32,acts christian academy,Alameda,2013,2,63,63,2013,5,2,1
27,32,acts christian academy,Alameda,2014,2,63,63,2014,5,2,1
28,32,acts christian academy,Alameda,2015,2,63,63,2015,5,2,1
29,32,acts christian academy,Alameda,2016,2,63,63,2016,5,2,1
30,66,alameda county community,Alameda,2016,2,64,64,2016,5,2,1
31,84,albany children's center,Alameda,2013,2,65,65,2013,5,2,1
32,87,alisal elementary,Alameda,2013,2,66,66,2013,5,2,1
33,87,alisal elementary,Alameda,2014,2,66,66,2014,5,2,1
34,87,alisal elementary,Alameda,2015,2,66,66,2015,5,2,1
35,87,alisal elementary,Alameda,2016,2,66,66,2016,5,2,1
36,87,alisal elementary,Alameda,2017,2,66,66,2017,5,2,1
37,87,alisal elementary,Alameda,2018,2,66,66,2018,5,2,1
38,87,alisal elementary,Alameda,2019,2,66,66,2019,5,2,1
39,87,alisal elementary,Alameda,2020,2,66,66,2020,5,2,1
40,87,alisal elementary,Alameda,2021,2,66,66,2021,5,2,1
41,87,alisal elementary,Alameda,2022,2,66,66,2022,5,2,1
42,90,all saints catholic school,Alameda,2013,2,67,67,2013,5,2,1
43,90,all saints catholic school,Alameda,2014,2,67,67,2014,5,2,1
44,90,all saints catholic school,Alameda,2015,2,67,67,2015,5,2,1
45,90,all saints catholic school,Alameda,2016,2,67,67,2016,5,2,1
46,90,all saints catholic school,Alameda,2017,2,67,67,2017,5,2,1
47,90,all saints catholic school,Alameda,2018,2,67,67,2018,5,2,1
48,90,all saints catholic school,Alameda,2019,2,67,67,2019,5,2,1
49,90,all saints catholic school,Alameda,2020,2,67,67,2020,5,2,1
50,90,all saints catholic school,Alameda,2021,2,67,67,2021,5,2,1
51,91,allendale elementary,Alameda,2013,2,68,68,2013,5,2,1
52,91,allendale elementary,Alameda,2014,2,68,68,2014,5,2,1
53,91,allendale elementary,Alameda,2015,2,68,68,2015,5,2,1
54,91,allendale elementary,Alameda,2016,2,68,68,2016,5,2,1
55,91,allendale elementary,Alameda,2017,2,68,68,2017,5,2,1
56,91,allendale elementary,Alameda,2018,2,68,68,2018,5,2,1
57,91,allendale elementary,Alameda,2019,2,68,68,2019,5,2,1
58,91,allendale elementary,Alameda,2020,2,68,68,2020,5,2,1
59,91,allendale elementary,Alameda,2021,2,68,68,2021,5,2,1
60,91,allendale elementary,Alameda,2022,2,68,68,2022,5,2,1
61,97,altamont creek elementary,Alameda,2014,2,69,69,2014,5,2,1
62,97,altamont creek elementary,Alameda,2015,2,69,69,2015,5,2,1
63,97,altamont creek elementary,Alameda,2016,2,69,69,2016,5,2,1
64,97,altamont creek elementary,Alameda,2017,2,69,69,2017,5,2,1
65,97,altamont creek elementary,Alameda,2018,2,69,69,2018,5,2,1
66,97,altamont creek elementary,Alameda,2019,2,69,69,2019,5,2,1
67,97,altamont creek elementary,Alameda,2020,2,69,69,2020,5,2,1
68,97,altamont creek elementary,Alameda,2021,2,69,69,2021,5,2,1
69,97,altamont creek elementary,Alameda,2022,2,69,69,2022,5,2,1
70,101,alvarado elementary,Alameda,2013,2,70,70,2013,5,2,1
71,101,alvarado elementary,Alameda,2014,2,70,70,2014,5,2,1
72,101,alvarado elementary,Alameda,2015,2,70,70,2015,5,2,1
73,101,alvarado elementary,Alameda,2016,2,70,70,2016,5,2,1
74,101,alvarado elementary,Alameda,2017,2,70,70,2017,5,2,1
75,101,alvarado elementary,Alameda,2018,2,70,70,2018,5,2,1
76,101,alvarado elementary,Alameda,2019,2,70,70,2019,5,2,1
77,101,alvarado elementary,Alameda,2020,2,70,70,2020,5,2,1
78,101,alvarado elementary,Alameda,2021,2,70,70,2021,5,2,1
79,101,alvarado elementary,Alameda,2022,2,70,70,2022,5,2,1
80,108,amelia earhart elementary,Alameda,2013,2,71,71,2013,5,2,1
81,108,amelia earhart elementary,Alameda,2014,2,71,71,2014,5,2,1
82,108,amelia earhart elementary,Alameda,2015,2,71,71,2015,5,2,1
83,108,amelia earhart elementary,Alameda,2016,2,71,71,2016,5,2,1
84,108,amelia earhart elementary,Alameda,2017,2,71,71,2017,5,2,1
85,108,amelia earhart elementary,Alameda,2018,2,71,71,2018,5,2,1
86,108,amelia earhart elementary,Alameda,2019,2,71,71,2019,5,2,1
87,108,amelia earhart elementary,Alameda,2020,2,71,71,2020,5,2,1
88,108,amelia earhart elementary,Alameda,2021,2,71,71,2021,5,2,1
89,108,amelia earhart elementary,Alameda,2022,2,71,71,2022,5,2,1
90,112,american indian public charter school ii,Alameda,2014,2,72,72,2014,5,2,1
91,112,american indian public charter school ii,Alameda,2015,2,72,72,2015,5,2,1
92,112,american indian public charter school ii,Alameda,2016,2,72,72,2016,5,2,1
93,112,american indian public charter ii,Alameda,2018,2,72,72,2018,5,2,1
94,112,american indian public charter ii,Alameda,2019,2,72,72,2019,5,2,1
95,112,american indian public charter ii,Alameda,2020,2,72,72,2020,5,2,1
96,112,american indian public charter ii,Alameda,2021,2,72,72,2021,5,2,1
97,113,american indian model schools,Alameda,2017,2,73,73,2017,5,2,1
98,114,american international montessori school,Alameda,2013,2,74,74,2013,5,2,1
99,114,american international montessori school,Alameda,2014,2,74,74,2014,5,2,1
100,114,american international montessori school,Alameda,2015,2,74,74,2015,5,2,1
101,114,american international montessori school,Alameda,2016,2,74,74,2016,5,2,1
102,114,american international montessori school,Alameda,2018,2,74,74,2018,5,2,1
103,114,american international montessori school,Alameda,2020,2,74,74,2020,5,2,1
104,114,american international montessori school,Alameda,2021,2,74,74,2021,5,2,1
105,122,anna yates elementary,Alameda,2013,2,75,75,2013,5,2,1
106,122,anna yates elementary,Alameda,2014,2,75,75,2014,5,2,1
107,122,anna yates elementary,Alameda,2017,2,75,75,2017,5,2,1
108,122,anna yates elementary,Alameda,2018,2,75,75,2018,5,2,1
109,122,anna yates elementary,Alameda,2019,2,75,75,2019,5,2,1
110,122,anna yates elementary,Alameda,2020,2,75,75,2020,5,2,1
111,122,anna yates elementary,Alameda,2021,2,75,75,2021,5,2,1
112,122,anna yates elementary,Alameda,2022,2,75,75,2022,5,2,1
113,131,ardenwood elementary,Alameda,2013,2,76,76,2013,5,2,1
114,131,ardenwood elementary,Alameda,2014,2,76,76,2014,5,2,1
115,131,ardenwood elementary,Alameda,2015,2,76,76,2015,5,2,1
116,131,ardenwood elementary,Alameda,2016,2,76,76,2016,5,2,1
117,131,ardenwood elementary,Alameda,2017,2,76,76,2017,5,2,1
118,131,ardenwood elementary,Alameda,2018,2,76,76,2018,5,2,1
119,131,ardenwood elementary,Alameda,2019,2,76,76,2019,5,2,1
120,131,ardenwood elementary,Alameda,2020,2,76,76,2020,5,2,1
121,131,ardenwood elementary,Alameda,2021,2,76,76,2021,5,2,1
122,131,ardenwood elementary,Alameda,2022,2,76,76,2022,5,2,1
123,139,arroyo seco elementary,Alameda,2014,2,77,77,2014,5,2,1
124,139,arroyo seco elementary,Alameda,2015,2,77,77,2015,5,2,1
125,139,arroyo seco elementary,Alameda,2016,2,77,77,2016,5,2,1
126,139,arroyo seco elementary,Alameda,2017,2,77,77,2017,5,2,1
127,139,arroyo seco elementary,Alameda,2018,2,77,77,2018,5,2,1
128,139,arroyo seco elementary,Alameda,2019,2,77,77,2019,5,2,1
129,139,arroyo seco elementary,Alameda,2020,2,77,77,2020,5,2,1
130,139,arroyo seco elementary,Alameda,2021,2,77,77,2021,5,2,1
131,139,arroyo seco elementary,Alameda,2022,2,77,77,2022,5,2,1
132,146,ascend,Alameda,2013,2,78,78,2013,5,2,1
133,146,ascend,Alameda,2014,2,78,78,2014,5,2,1
134,146,ascend,Alameda,2015,2,78,78,2015,5,2,1
135,146,ascend,Alameda,2016,2,78,78,2016,5,2,1
136,146,ascend,Alameda,2017,2,78,78,2017,5,2,1
137,146,ascend,Alameda,2018,2,78,78,2018,5,2,1
138,146,ascend,Alameda,2019,2,78,78,2019,5,2,1
139,146,ascend,Alameda,2020,2,78,78,2020,5,2,1
140,146,ascend,Alameda,2021,2,78,78,2021,5,2,1
141,146,ascend,Alameda,2022,2,78,78,2022,5,2,1
142,149,aspire berkley maynard academy,Alameda,2013,2,79,79,2013,5,2,1
143,149,aspire berkley maynard academy,Alameda,2014,2,79,79,2014,5,2,1
144,149,aspire berkley maynard academy,Alameda,2015,2,79,79,2015,5,2,1
145,149,aspire berkley maynard academy,Alameda,2016,2,79,79,2016,5,2,1
146,149,aspire berkley maynard academy,Alameda,2017,2,79,79,2017,5,2,1
147,149,aspire berkley maynard academy,Alameda,2018,2,79,79,2018,5,2,1
148,149,aspire berkley maynard academy,Alameda,2019,2,79,79,2019,5,2,1
149,149,aspire berkley maynard academy,Alameda,2020,2,79,79,2020,5,2,1
150,149,aspire berkley maynard academy,Alameda,2021,2,79,79,2021,5,2,1
151,149,aspire berkley maynard academy,Alameda,2022,2,79,79,2022,5,2,1
152,151,aspire college academy,Alameda,2013,2,80,80,2013,5,2,1
153,151,aspire millsmont academy,Alameda,2013,2,80,80,2013,5,2,1
154,151,aspire college academy,Alameda,2014,2,80,80,2014,5,2,1
155,151,aspire college academy,Alameda,2015,2,80,80,2015,5,2,1
156,151,aspire college academy,Alameda,2016,2,80,80,2016,5,2,1
157,151,aspire college academy,Alameda,2017,2,80,80,2017,5,2,1
158,151,aspire college academy,Alameda,2018,2,80,80,2018,5,2,1
159,151,aspire college academy,Alameda,2019,2,80,80,2019,5,2,1
160,151,aspire college academy,Alameda,2020,2,80,80,2020,5,2,1
161,151,aspire college academy,Alameda,2021,2,80,80,2021,5,2,1
162,151,aspire college academy,Alameda,2022,2,80,80,2022,5,2,1
163,152,aspire eres academy,Alameda,2013,2,81,81,2013,5,2,1
164,152,aspire eres academy,Alameda,2014,2,81,81,2014,5,2,1
165,152,aspire eres academy,Alameda,2015,2,81,81,2015,5,2,1
166,152,aspire eres academy,Alameda,2016,2,81,81,2016,5,2,1
167,152,aspire eres academy,Alameda,2017,2,81,81,2017,5,2,1
168,152,aspire eres academy,Alameda,2018,2,81,81,2018,5,2,1
169,152,aspire eres academy,Alameda,2019,2,81,81,2019,5,2,1
170,152,aspire eres academy,Alameda,2020,2,81,81,2020,5,2,1
171,155,aspire monarch academy,Alameda,2013,2,82,82,2013,5,2,1
172,155,aspire monarch academy,Alameda,2014,2,82,82,2014,5,2,1
173,155,aspire monarch academy,Alameda,2015,2,82,82,2015,5,2,1
174,155,aspire monarch academy,Alameda,2016,2,82,82,2016,5,2,1
175,155,aspire monarch academy,Alameda,2017,2,82,82,2017,5,2,1
176,155,aspire monarch academy,Alameda,2018,2,82,82,2018,5,2,1
177,155,aspire monarch academy,Alameda,2019,2,82,82,2019,5,2,1
178,155,aspire monarch academy,Alameda,2020,2,82,82,2020,5,2,1
179,155,aspire monarch academy,Alameda,2021,2,82,82,2021,5,2,1
180,155,aspire monarch academy,Alameda,2022,2,82,82,2022,5,2,1
181,156,aspire triumph technology academy,Alameda,2014,2,83,83,2014,5,2,1
182,156,aspire triumph technology academy,Alameda,2015,2,83,83,2015,5,2,1
183,156,aspire triumph technology academy,Alameda,2016,2,83,83,2016,5,2,1
184,156,aspire triumph technology academy,Alameda,2017,2,83,83,2017,5,2,1
185,156,aspire triumph technology academy,Alameda,2018,2,83,83,2018,5,2,1
